Rank,Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
350,212,212,2.674813e-13,ENSG00000127483,HP1BP3
351,239,239,2.571764e-13,ENSG00000011007,ELOA
352,204,204,2.5676564e-13,ENSG00000225986,UBXN10-AS1
353,428,428,2.3252434e-13,ENSG00000168389,MFSD2A
354,285,285,2.0649651e-13,ENSG00000253368,TRNP1
355,32,32,1.9844113e-13,ENSG00000197785,ATAD3A
356,189,189,1.8456254e-13,ENSG00000159423,ALDH4A1
357,412,412,1.6130256e-13,ENSG00000183386,FHL3
358,50,50,1.5408693e-13,ENSG00000187730,GABRD
359,114,114,1.5067347e-13,ENSG00000171603,CLSTN1
360,153,153,1.4344221e-13,ENSG00000162493,PDPN
361,63,63,1.3249218e-13,ENSG00000197921,HES5
362,431,431,1.2839477e-13,ENSG00000117000,RLF
363,271,271,1.1266922e-13,ENSG00000142675,CNKSR1
364,181,181,1.00074266e-13,ENSG00000058453,CROCC
365,195,195,9.909965e-14,ENSG00000053372,MRTO4
366,288,288,9.747751e-14,ENSG00000186501,TMEM222
367,260,260,8.424109e-14,ENSG00000225643,AL606491.1
368,79,79,7.340985e-14,ENSG00000131697,NPHP4
369,292,292,6.704894e-14,ENSG00000158195,WASF2
370,367,367,6.309234e-14,ENSG00000188910,GJB3
371,98,98,5.6689953e-14,ENSG00000171735,CAMTA1
372,180,180,5.6571575e-14,ENSG00000219481,NBPF1
373,249,249,5.2405945e-14,ENSG00000001460,STPG1
374,422,422,4.7845564e-14,ENSG00000090621,PABPC4
375,84,84,4.5468156e-14,ENSG00000158286,RNF207
376,238,238,4.0530174e-14,ENSG00000236810,ELOA-AS1
377,200,200,3.9213123e-14,ENSG00000173436,MICOS10
378,22,22,3.5109946e-14,ENSG00000162576,MXRA8
379,471,471,3.4943924e-14,ENSG00000237950,AL357079.1
380,395,395,3.253692e-14,ENSG00000116898,MRPS15
381,20,20,3.236726e-14,ENSG00000224051,CPTP
382,6,6,3.1698267e-14,ENSG00000187961,KLHL17
383,37,37,3.0189345e-14,ENSG00000272106,AL691432.2
384,33,33,2.8970082e-14,ENSG00000205090,TMEM240
385,30,30,2.858619e-14,ENSG00000215915,ATAD3C
386,259,259,2.7602986e-14,ENSG00000157978,LDLRAP1
387,418,418,2.1848757e-14,ENSG00000174574,AKIRIN1
388,223,223,2.1322489e-14,ENSG00000070886,EPHA8
389,253,253,2.0293082e-14,ENSG00000169504,CLIC4
390,314,314,1.8862343e-14,ENSG00000120656,TAF12
391,262,262,1.7287184e-14,ENSG00000162430,SELENON
392,129,129,1.6836814e-14,ENSG00000271895,AL109811.2
393,386,386,1.5889413e-14,ENSG00000054116,TRAPPC3
394,278,278,1.580264e-14,ENSG00000117713,ARID1A
395,489,489,1.4675557e-14,ENSG00000126107,HECTD3
396,394,394,1.456396e-14,ENSG00000116885,OSCP1
397,182,182,1.2632337e-14,ENSG00000238142,BX284668.5
398,25,25,1.1957e-14,ENSG00000224870,MRPL20-AS1
399,296,296,9.33152e-15,ENSG00000009780,FAM76A
400,466,466,8.509971e-15,ENSG00000178922,HYI
401,73,73,8.2701375e-15,ENSG00000235169,SMIM1
402,413,413,7.370078e-15,ENSG00000183520,UTP11
403,225,225,7.198884e-15,ENSG00000159189,C1QC
404,45,45,7.141772e-15,ENSG00000078369,GNB1
405,131,131,6.45678e-15,ENSG00000171824,EXOSC10
406,245,245,5.916966e-15,ENSG00000189266,PNRC2
407,241,241,4.7567558e-15,ENSG00000011009,LYPLA2
408,339,339,4.722782e-15,ENSG00000084652,TXLNA
409,121,121,4.0877573e-15,ENSG00000284642,AL139424.2
410,86,86,3.6490798e-15,ENSG00000158292,GPR153
411,178,178,3.2962912e-15,ENSG00000157191,NECAP2
412,177,177,3.0071751e-15,ENSG00000055070,SZRD1
413,94,94,2.8607883e-15,ENSG00000116273,PHF13
414,411,411,2.8102118e-15,ENSG00000183431,SF3A3
415,165,165,2.7944225e-15,ENSG00000233954,UQCRHL
416,78,78,2.761782e-15,ENSG00000196581,AJAP1
417,67,67,2.715689e-15,ENSG00000177133,PRDM16-DT
418,277,277,2.470881e-15,ENSG00000117676,RPS6KA1
419,201,201,2.4500538e-15,ENSG00000158747,NBL1
420,424,424,2.3383215e-15,ENSG00000116983,HPCAL4
421,472,472,2.2367129e-15,ENSG00000117408,IPO13
422,77,77,1.6441353e-15,ENSG00000198912,C1orf174
423,281,281,1.6364953e-15,ENSG00000142751,GPN2
424,128,128,1.5661901e-15,ENSG00000120948,TARDBP
425,468,468,1.1942248e-15,ENSG00000066135,KDM4A
426,243,243,1.1922584e-15,ENSG00000117305,HMGCL
427,267,267,1.1900728e-15,ENSG00000158008,EXTL1
428,74,74,1.0266664e-15,ENSG00000130764,LRRC47
429,171,171,9.832911e-16,ENSG00000186510,CLCNKA
430,368,368,8.98746e-16,ENSG00000187513,GJA4
431,295,295,7.894096700000001e-16,ENSG00000126709,IFI6
432,387,387,7.322853400000001e-16,ENSG00000116871,MAP7D1
433,442,442,5.892883400000001e-16,ENSG00000179862,CITED4
434,135,135,5.812044e-16,ENSG00000120942,UBIAD1
435,222,222,5.435305600000001e-16,ENSG00000184677,ZBTB40
436,40,40,4.808971e-16,ENSG00000248333,CDK11B
437,264,264,4.720870400000001e-16,ENSG00000182749,PAQR7
438,26,26,4.483889600000001e-16,ENSG00000242485,MRPL20
439,378,378,4.362745e-16,ENSG00000116819,TFAP2E
440,132,132,4.2868732000000006e-16,ENSG00000230337,EXOSC10-AS1
441,16,16,3.1720428000000003e-16,ENSG00000162572,SCNN1D
442,5,5,3.0462097000000003e-16,ENSG00000188976,NOC2L
443,256,256,2.393909e-16,ENSG00000272432,AL031432.3
444,454,454,2.38173e-16,ENSG00000117385,P3H1
445,362,362,2.1029844000000002e-16,ENSG00000116525,TRIM62
446,247,247,1.8157235e-16,ENSG00000185436,IFNLR1
447,82,82,1.406834e-16,ENSG00000116251,RPL22
448,51,51,1.3599037e-16,ENSG00000067606,PRKCZ
449,336,336,1.08051864e-16,ENSG00000121775,TMEM39B
450,306,306,9.730368000000001e-17,ENSG00000270605,AL353622.1
451,68,68,9.650705e-17,ENSG00000130762,ARHGEF16
452,71,71,7.5286604e-17,ENSG00000116213,WRAP73
453,152,152,7.235741e-17,ENSG00000259961,AL354712.1
454,57,57,6.8306993e-17,ENSG00000272161,AL589739.1
455,224,224,6.8275475e-17,ENSG00000173372,C1QA
456,17,17,6.6822224e-17,ENSG00000131584,ACAP3
457,140,140,5.651346000000001e-17,ENSG00000116670,MAD2L2
458,441,441,4.5924267e-17,ENSG00000117013,KCNQ4
459,157,157,3.999128e-17,ENSG00000171729,TMEM51
460,324,324,3.9534110000000004e-17,ENSG00000134644,PUM1
