Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
216,216,1.6162710000000002e-17,ENSG00000162551,ALPL
422,422,1.5709240000000002e-17,ENSG00000090621,PABPC4
29,29,1.5577479e-17,ENSG00000179403,VWA1
65,65,1.27479625e-17,ENSG00000157873,TNFRSF14
327,327,1.1621818e-17,ENSG00000121766,ZCCHC17
240,240,1.0041475e-17,ENSG00000057757,PITHD1
84,84,9.230302e-18,ENSG00000158286,RNF207
381,381,8.975165e-18,ENSG00000134698,AGO4
275,275,8.803585e-18,ENSG00000117682,DHDDS
93,93,7.860057e-18,ENSG00000162413,KLHL21
52,52,7.774561e-18,ENSG00000182873,PRKCZ-AS1
232,232,6.553609e-18,ENSG00000125945,ZNF436
228,228,6.056544e-18,ENSG00000004487,KDM1A
424,424,4.8068276e-18,ENSG00000116983,HPCAL4
385,385,3.9897306999999995e-18,ENSG00000171812,COL8A2
20,20,3.1850673999999998e-18,ENSG00000224051,CPTP
464,464,2.9417195999999997e-18,ENSG00000159479,MED8
107,107,2.7773340000000002e-18,ENSG00000074800,ENO1
351,351,2.6944633e-18,ENSG00000162521,RBBP4
198,198,2.6122806e-18,ENSG00000040487,SLC66A1
404,404,2.5664006e-18,ENSG00000116922,C1orf109
371,371,2.53624e-18,ENSG00000163867,ZMYM6
142,142,1.935581e-18,ENSG00000177000,MTHFR
147,147,1.7024716999999999e-18,ENSG00000116691,MIIP
473,473,1.6970574e-18,ENSG00000132768,DPH2
352,352,1.6697976999999999e-18,ENSG00000162520,SYNC
379,379,1.396233e-18,ENSG00000126067,PSMB2
347,347,1.3024256999999998e-18,ENSG00000160058,BSDC1
239,239,1.192991e-18,ENSG00000011007,ELOA
181,181,9.507037e-19,ENSG00000058453,CROCC
444,444,9.428915e-19,ENSG00000010803,SCMH1
339,339,7.914631999999999e-19,ENSG00000084652,TXLNA
168,168,6.74685e-19,ENSG00000116809,ZBTB17
218,218,6.671502999999999e-19,ENSG00000090686,USP48
80,80,5.9660334e-19,ENSG00000069424,KCNAB2
364,364,5.7827426e-19,ENSG00000134686,PHC2
42,42,5.7103809999999995e-19,ENSG00000008128,CDK11A
119,119,5.617154999999999e-19,ENSG00000130939,UBE4B
478,478,5.2077574999999995e-19,ENSG00000230615,AL139220.2
206,206,4.51012e-19,ENSG00000162545,CAMK2N1
226,226,2.9623707999999997e-19,ENSG00000173369,C1QB
494,494,2.8278573e-19,ENSG00000132773,TOE1
48,48,1.780686e-19,ENSG00000142609,CFAP74
375,375,1.7637714e-19,ENSG00000142687,KIAA0319L
319,319,1.7034906999999999e-19,ENSG00000116350,SRSF4
354,354,1.7006597999999999e-19,ENSG00000134684,YARS
27,27,1.6043644999999999e-19,ENSG00000272455,AL391244.2
251,251,1.6007454e-19,ENSG00000117602,RCAN3
200,200,1.5027233e-19,ENSG00000173436,MICOS10
463,463,1.4902500000000001e-19,ENSG00000066322,ELOVL1
57,57,1.3339775e-19,ENSG00000272161,AL589739.1
290,290,1.2282192e-19,ENSG00000142733,MAP3K6
247,247,7.8499505e-20,ENSG00000185436,IFNLR1
95,95,4.8013069999999995e-20,ENSG00000041988,THAP3
14,14,4.777683e-20,ENSG00000184163,C1QTNF12
88,88,4.482144e-20,ENSG00000187017,ESPN
429,429,4.1898356e-20,ENSG00000131236,CAP1
405,405,3.2320515e-20,ENSG00000183317,EPHA10
163,163,1.5104467e-20,ENSG00000162461,SLC25A34
417,417,8.819336e-21,ENSG00000214114,MYCBP
235,235,8.178361e-21,ENSG00000088280,ASAP3
382,382,8.095794e-21,ENSG00000092847,AGO1
337,337,6.595079e-21,ENSG00000025800,KPNA6
127,127,3.8181623e-21,ENSG00000175262,C1orf127
